# NumberResearch.org area code dataset. License CC BY 4.0. Underlying data: NANPA (nanpa.com), file date 09/17/2026. Retrieved via numberresearch.org/datasets
npa,kind,status,country,region,in_service_date,parent_npa,dialing_pattern
634,geographic,reserved,,,,,
635,geographic,unassigned,,,,,
636,geographic,in_service,US,MO,1999-05-22,314,7D
637,geographic,unassigned,,,,,
638,geographic,unassigned,,,,,
639,geographic,in_service,CANADA,SASKATCHEWAN,2013-05-25,306,10D
640,geographic,in_service,US,NJ,2018-09-17,609,10D
641,geographic,in_service,US,IA,2000-07-09,515,7D
642,geographic,unassigned,,,,,
643,geographic,unassigned,,,,,
644,non_geographic,reserved,,,,,
645,geographic,in_service,US,FL,2023-08-04,305,10D
646,geographic,in_service,US,NY,1999-07-01,212,1+10D
647,geographic,in_service,CANADA,ONTARIO,2001-03-05,416,10D
648,geographic,unassigned,,,,,
649,geographic,in_service,TURKS & CAICOS ISLANDS,TURKS & CAICOS ISLANDS,1997-06-01,809,7D
650,geographic,in_service,US,CA,1997-08-02,415,1+10D
651,geographic,in_service,US,MN,1998-07-12,612,7D
652,geographic,unassigned,,,,,
653,geographic,unassigned,,,,,
654,geographic,unassigned,,,,,
655,non_geographic,reserved,,,,,
656,geographic,in_service,US,FL,2022-02-22,813,10D
657,geographic,in_service,US,CA,2008-09-23,714,1+10D
658,geographic,in_service,JAMAICA,JAMAICA,2019-04-30,876,10D
659,geographic,in_service,US,AL,2019-11-12,205,10D
660,geographic,in_service,US,MO,1997-10-12,816,10D
661,geographic,in_service,US,CA,1999-02-13,805,7D
662,geographic,in_service,US,MS,1999-04-19,601,10D
663,geographic,unassigned,,,,,
664,geographic,in_service,MONTSERRAT,MONTSERRAT,1996-07-01,809,7D
665,geographic,reserved,,,,,
666,non_geographic,unassigned,,,,,
667,geographic,in_service,US,MD,2012-03-24,443,10D
668,geographic,unassigned,,,,,
669,geographic,in_service,US,CA,2012-11-20,408,1+10D
670,geographic,in_service,US,CNMI,1997-07-01,,7D
671,geographic,in_service,US,GU,1997-07-01,,10D
672,geographic,in_service,CANADA,BRITISH COLUMBIA,2013-06-01,604,10D
673,geographic,reserved,,,,,
674,geographic,unassigned,,,,,
675,geographic,unassigned,,,,,
676,geographic,reserved,,,,,
677,non_geographic,reserved,,,,,
678,geographic,in_service,US,GA,1998-01-06,470,10D
679,geographic,in_service,US,MI,2025-11-07,313,10D
680,geographic,in_service,US,NY,2017-03-11,315,10D
681,geographic,in_service,US,WV,2009-03-28,304,10D
682,geographic,in_service,US,TX,2000-10-07,817,10D
683,geographic,in_service,CANADA,ONTARIO,2022-06-18,705,10D
684,geographic,in_service,US,AS,2004-10-02,,7D
685,geographic,unassigned,,,,,
686,geographic,in_service,US,VA,2024-02-01,804,10D
687,geographic,reserved,,,,,
688,non_geographic,reserved,,,,,
689,geographic,in_service,US,FL,2019-06-04,407,10D
690,non_geographic,reserved,,,,,
691,non_geographic,reserved,,,,,
692,non_geographic,reserved,,,,,
693,non_geographic,reserved,,,,,
694,non_geographic,reserved,,,,,
695,non_geographic,reserved,,,,,
696,non_geographic,reserved,,,,,
697,non_geographic,reserved,,,,,
698,non_geographic,reserved,,,,,
699,non_geographic,reserved,,,,,
700,non_geographic,in_service,,,1984-01-01,,NA
701,geographic,in_service,US,ND,1947-01-01,,7D
702,geographic,in_service,US,NV,1947-01-01,,10D
703,geographic,in_service,US,VA,1947-01-01,,10D
704,geographic,in_service,US,NC,1947-01-01,,10D
705,geographic,in_service,CANADA,ONTARIO,1957-01-01,,10D
706,geographic,in_service,US,GA,1992-05-03,404,10D
707,geographic,in_service,US,CA,1959-01-01,415,1+10D
708,geographic,in_service,US,IL,1989-11-11,312,1+10D
709,geographic,in_service,CANADA,NEWFOUNDLAND AND LABRADOR,1962-01-01,,10D
710,non_geographic,in_service,US,,1984-01-01,,NA
711,non_geographic,not_assignable,,,,,
712,geographic,in_service,US,IA,1947-01-01,,7D
713,geographic,in_service,US,TX,1947-01-01,,10D
714,geographic,in_service,US,CA,1951-01-01,213,1+10D
715,geographic,in_service,US,WI,1947-01-01,,10D
716,geographic,in_service,US,NY,1947-01-01,,10D
717,geographic,in_service,US,PA,1947-01-01,,10D
718,geographic,in_service,US,NY,1984-09-01,212,1+10D
719,geographic,in_service,US,CO,1988-03-05,303,10D
720,geographic,in_service,US,CO,1998-06-01,303,10D
721,geographic,in_service,SINT MAARTEN,SINT MAARTEN,2011-09-30,,7D
722,non_geographic,unassigned,,,,,
723,geographic,reserved,,,,,
724,geographic,in_service,US,PA,1998-02-01,412,10D
725,geographic,in_service,US,NV,2014-06-03,702,10D
726,geographic,in_service,US,TX,2017-10-23,210,10D
727,geographic,in_service,US,FL,1998-07-01,813,7D
728,geographic,in_service,US,FL,2023-03-10,561,10D
729,geographic,in_service,US,TN,2025-09-05,423,10D
730,geographic,in_service,US,IL,2023-07-07,618,10D
731,geographic,in_service,US,TN,2001-02-12,901,10D
732,geographic,in_service,US,NJ,1997-06-01,908,10D
733,non_geographic,unassigned,,,,,
734,geographic,suspended,US,MI,1997-12-13,313,7D
735,geographic,unassigned,,,,,
736,geographic,unassigned,,,,,
737,geographic,in_service,US,TX,2013-07-01,512,10D
738,geographic,in_service,US,CA,2024-11-01,323,1+10D
739,geographic,unassigned,,,,,
740,geographic,in_service,US,OH,1997-12-06,614,10D
741,geographic,reserved,,,,,
742,geographic,in_service,CANADA,ONTARIO,2021-10-16,905,10D
743,geographic,in_service,US,NC,2016-05-23,336,10D
744,non_geographic,unassigned,,,,,
745,geographic,unassigned,,,,,
746,geographic,unassigned,,,,,
747,geographic,in_service,US,CA,2009-05-18,818,1+10D
748,geographic,in_service,US,CO,2025-07-07,970,10D
749,geographic,unassigned,,,,,
750,geographic,reserved,,,,,
751,geographic,unassigned,,,,,
752,geographic,reserved,,,,,
753,geographic,in_service,CANADA,ONTARIO,2022-03-26,613,10D
754,geographic,in_service,US,FL,2001-08-01,954,10D
755,non_geographic,unassigned,,,,,
756,geographic,unassigned,,,,,
